component,fold,calibration_rows,validation_rows,calibration_qwk,validation_qwk,optimizer_evaluations,threshold_1,threshold_2,threshold_3,threshold_4,threshold_5
base_tfidf,0,12460,3116,0.7910419263,0.7824477819,3500,1.8991536437,2.6973239950,3.3856348022,4.1031540437,4.8083719554
base_tfidf,1,12461,3115,0.7901906074,0.7854695596,4000,1.8973177077,2.6505350599,3.3797114462,4.1031291744,4.8105372009
base_tfidf,2,12461,3115,0.7882969992,0.7935935064,4550,1.8922997260,2.6972979260,3.3742056392,4.0942772698,4.8103459419
base_tfidf,3,12461,3115,0.7903212705,0.7833514429,5050,1.8980826544,2.6866117273,3.3900461229,4.1281606028,4.8116251971
base_tfidf,4,12461,3115,0.7888995402,0.7908669710,4300,1.8861425836,2.7015362072,3.3856339608,4.0940754033,4.8072377528
numeric_style,0,12460,3116,0.7492188363,0.7441716960,5050,1.8507084347,2.6446377093,3.3298054523,4.1073265694,4.7608356691
numeric_style,1,12461,3115,0.7512255830,0.7377789541,4500,1.8704656407,2.5898819370,3.3653872564,4.1253185840,4.9371333832
numeric_style,2,12461,3115,0.7494893801,0.7470804792,5050,1.8705722492,2.5924839451,3.3302328367,4.1156634715,4.7555506344
numeric_style,3,12461,3115,0.7474590329,0.7490073566,5050,1.8279076009,2.6472802432,3.3298908225,4.1133253602,4.9246610654
numeric_style,4,12461,3115,0.7497441980,0.7456577695,4000,1.8706457325,2.5566039474,3.3297745732,4.1073667378,4.7571074456
style_blend,0,12460,3116,0.8066369307,0.7957015010,5050,1.8361120841,2.6431108000,3.3422162578,4.0744803590,4.6749865601
style_blend,1,12461,3115,0.8049739436,0.8034689533,5050,1.9435279935,2.6429719712,3.3251158976,4.0744294007,4.6747253650
style_blend,2,12461,3115,0.8027212684,0.8114135057,5050,1.9430866500,2.6429427263,3.3166089550,4.1394447589,4.6671753848
style_blend,3,12461,3115,0.8052638308,0.8017539322,4900,1.9382329588,2.6429751425,3.3170728754,4.0924227078,4.6751000186
style_blend,4,12461,3115,0.8056533681,0.7987400012,5050,1.9434900146,2.6294758505,3.3265199754,4.0612342639,4.6749742460
raw_char,0,12460,3116,0.7957719327,0.7829413386,5050,1.8569966725,2.6076622231,3.3789895693,4.1368853417,4.8416978373
raw_char,1,12461,3115,0.7937028619,0.7934359003,3450,1.8206504154,2.6128954612,3.3826127194,4.1368103866,4.8709261237
raw_char,2,12461,3115,0.7930232134,0.7950189481,4200,1.8211414563,2.6845762071,3.3809787354,4.1724840372,4.8417761724
raw_char,3,12461,3115,0.7937277075,0.7909270916,5050,1.7693970268,2.6120492806,3.3812085031,4.1488754984,4.8151636915
raw_char,4,12461,3115,0.7943866891,0.7892877483,5050,1.8182188102,2.6234774316,3.3823715942,4.2018769678,4.8195630529
word_ordinal,0,12460,3116,0.7728669571,0.7633633405,4150,1.4949161524,2.5505764755,3.5353399324,4.4009374374,5.6513469812
word_ordinal,1,12461,3115,0.7724681007,0.7656622739,3950,1.4947030267,2.5656759434,3.5351258472,4.5219938973,5.7925335599
word_ordinal,2,12461,3115,0.7705035389,0.7733626245,3250,1.7105701654,2.6355854729,3.4388851249,4.5211193923,5.7768043160
word_ordinal,3,12461,3115,0.7721650992,0.7673174764,3900,1.4948171770,2.6549952281,3.4200498281,4.5214368922,5.6557018315
word_ordinal,4,12461,3115,0.7720050327,0.7677904398,3600,1.5594798724,2.6363660369,3.4262503529,4.4025710653,5.7550734184
classical_ensemble,0,12460,3116,0.8095204417,0.8003660530,4050,1.8557836132,2.6399376524,3.3435937725,4.1214549464,4.7083733875
classical_ensemble,1,12461,3115,0.8081175447,0.8065759721,4200,1.8661961717,2.6407604664,3.3665069850,4.1217735546,4.7085638747
classical_ensemble,2,12461,3115,0.8063495247,0.8130923811,4550,1.8452762431,2.6437485216,3.3407774115,4.1707008155,4.7162918441
classical_ensemble,3,12461,3115,0.8078278687,0.8064264705,4500,1.8678592032,2.6399249987,3.3378022326,4.1212079280,4.7863841988
classical_ensemble,4,12461,3115,0.8089857184,0.8035092767,3400,1.8674420455,2.6440413166,3.3407279810,4.1720422998,4.7084850618
