component,fold,train_rows,validation_rows,features,word_features,char_wb_features,train_nonzeros,sparse_matrix_megabytes,vectorizer_seconds,model_seconds,ridge_seconds,style_seconds,style_iterations,fold_seconds,sgd_max_iterations_used
style_blend,0,12460,3116,202841,100000,102841,27457715,290.3369674683,14.1731043750,1.2313406670,1.1013267500,0.1300139170,153,15.4066410410,
style_blend,1,12461,3115,202683,100000,102683,27387098,290.0669555664,14.3266470000,1.2753160840,1.1289041670,0.1464119170,187,15.6077198750,
style_blend,2,12461,3115,202531,100000,102531,27426547,290.0654602051,14.2711922080,1.2598621670,1.1332805000,0.1265816670,136,15.5375931670,
style_blend,3,12461,3115,202466,100000,102466,27403740,290.0573654175,14.2386978330,1.3131166670,1.1858167500,0.1272999170,152,15.5580593750,
style_blend,4,12461,3115,202647,100000,102647,27455198,290.0665893555,14.3055035830,1.2773491240,1.1314003330,0.1459487910,188,15.5892562920,
raw_char,0,12460,3116,180000,0,0,56860332,601.6031036377,26.7600265420,2.6906610410,2.6906610410,0.0000000000,0,29.4527920420,
raw_char,1,12461,3115,180000,0,0,56738702,601.4657516479,26.8110345000,2.7474194590,2.7474194590,0.0000000000,0,29.5605656660,
raw_char,2,12461,3115,180000,0,0,56859403,601.4698410034,26.7530879160,2.6746912920,2.6746912920,0.0000000000,0,29.4299279590,
raw_char,3,12461,3115,180000,0,0,56781011,601.4651947021,27.0355087090,2.7603373330,2.7603373330,0.0000000000,0,29.7979229170,
raw_char,4,12461,3115,180000,0,0,56892625,601.4696578979,26.9843597080,2.6850290840,2.6850290840,0.0000000000,0,29.6715343340,
word_ordinal,0,12460,3116,180000,180000,0,7399176,77.9253845215,8.8889050420,1.0293422910,0.0000000000,0.0000000000,0,9.9203604160,25.0000000000
word_ordinal,1,12461,3115,180000,180000,0,7375820,77.7946701050,9.2006344580,1.1007661250,0.0000000000,0.0000000000,0,10.3037529170,29.0000000000
word_ordinal,2,12461,3115,180000,180000,0,7394168,77.7975921631,8.6083831670,0.9664045420,0.0000000000,0.0000000000,0,9.5770972920,27.0000000000
word_ordinal,3,12461,3115,180000,180000,0,7379573,77.7891464233,8.3063267090,0.9521645420,0.0000000000,0.0000000000,0,9.2605680830,26.0000000000
word_ordinal,4,12461,3115,180000,180000,0,7399009,77.7979736328,8.3198614580,0.9245892080,0.0000000000,0.0000000000,0,9.2465698340,25.0000000000
