split,feature,min,p01,p05,p25,p50,p75,p95,p99,max
train,char_count,712.0,847.0,975.0,1396.0,1925.0,2547.0,3722.25,4833.5,20459.0
train,word_count,150.0,158.0,177.0,252.0,344.0,452.0,651.0,824.0,1656.0
train,sentence_count,0.0,4.0,8.0,13.0,19.0,25.0,35.0,46.0,135.0
train,paragraph_count,1.0,1.0,1.0,3.0,5.0,5.0,9.0,21.0,66.0
train,avg_word_length,3.4205128205128204,3.756778602108551,3.9491382363357337,4.224137931034483,4.426933438465076,4.631801442101713,4.909610069594752,5.0758120216539115,5.587248322147651
train,avg_sentence_words,5.354166666666667,10.42669172932331,12.375,15.674019607843137,18.46153846153846,22.09642857142857,32.0,53.8,713.0
train,unique_word_ratio,0.05374396135265701,0.3156328224806604,0.357620976154886,0.4220309792921376,0.4720583642735695,0.5266903914590747,0.6041028911564625,0.6574585635359116,0.7484662576687117
train,long_word_ratio,0.01098901098901099,0.07422841080033656,0.10363782818827014,0.14929259950248755,0.18238993710691823,0.21875,0.2699645362532681,0.30392156862745096,0.37454545454545457
train,punctuation_per_1k_chars,0.0,6.224470653732807,10.276849092646732,15.828097282989647,20.0,24.416135881104033,31.668988944244298,38.386601041609886,69.24979389942291
train,uppercase_ratio,0.0,0.0019087524776059829,0.008942651523750577,0.015611722858366178,0.021265500825872266,0.029094997982507795,0.04316152052754285,0.05526315789473684,1.0
train,digit_ratio,0.0,0.0,0.0,0.0,0.001535862422959197,0.004034059006315878,0.010152496617451559,0.016990656851642128,0.0581140350877193
train,connector_per_1k_words,0.0,0.0,0.0,3.0120481927710845,6.211180124223603,10.75268817204301,19.076169478128836,26.58754721271301,49.24242424242424
test,char_count,800.0,859.0,991.0,1402.5,1912.0,2497.5,3684.5,4914.800000000003,10309.0
test,word_count,151.0,159.3,179.0,254.0,339.0,442.0,638.5,811.8000000000002,1377.0
test,sentence_count,0.0,4.0,8.0,13.5,18.0,25.0,36.0,48.0,77.0
test,paragraph_count,1.0,1.0,2.0,3.0,5.0,5.0,9.0,20.700000000000045,35.0
test,avg_word_length,3.457547169811321,3.7643186401613367,3.9377807002307637,4.23363614725484,4.431192660550459,4.636196524064172,4.903446573177957,5.092119908929927,5.513761467889908
test,avg_sentence_words,7.95,10.08944099378882,12.294736842105262,15.659420289855072,18.464285714285715,22.075714285714284,32.33181818181818,50.90000000000001,292.0
test,unique_word_ratio,0.22967479674796748,0.3167898224224755,0.3586149053438773,0.4261898146310483,0.4723618090452261,0.5241466230064312,0.6063396788191695,0.6540463686435251,0.7288135593220338
test,long_word_ratio,0.018867924528301886,0.07982822085889571,0.10358259084759994,0.1511223061852785,0.1845841784989858,0.22108737189508426,0.2719280240831965,0.3036882510013351,0.375
test,punctuation_per_1k_chars,0.612369871402327,6.200279662137904,10.342189055545042,15.873015873015873,20.168855534709195,24.683618734753466,32.31370291014518,38.72134729022703,72.39176721078779
test,uppercase_ratio,0.0,0.003183529600256349,0.009212668999582164,0.015788981382253802,0.02132998745294856,0.028398571620924126,0.042402943605917245,0.05501473919927227,0.9055851063829787
test,digit_ratio,0.0,0.0,0.0,0.0,0.0015011258443832875,0.004168324867888592,0.010230191318834465,0.017120398641658697,0.035596572181938034
test,connector_per_1k_words,0.0,0.0,0.0,3.0675135262291224,6.622516556291391,11.106028913706002,19.57590853931149,26.695300944362277,38.46153846153846
