fold,score,count,fold_size,percent
0,1,225,3116,7.220795892169448
0,2,850,3116,27.278562259306803
0,3,1126,3116,36.13607188703466
0,4,712,3116,22.849807445442874
0,5,176,3116,5.648267008985879
0,6,27,3116,0.8664955070603337
1,1,225,3115,7.223113964686998
1,2,850,3115,27.287319422150883
1,3,1126,3115,36.14767255216693
1,4,712,3115,22.857142857142858
1,5,175,3115,5.617977528089888
1,6,27,3115,0.8667736757624398
2,1,225,3115,7.223113964686998
2,2,849,3115,27.25521669341894
2,3,1126,3115,36.14767255216693
2,4,713,3115,22.8892455858748
2,5,175,3115,5.617977528089888
2,6,27,3115,0.8667736757624398
3,1,225,3115,7.223113964686998
3,2,850,3115,27.287319422150883
3,3,1125,3115,36.11556982343499
3,4,713,3115,22.8892455858748
3,5,175,3115,5.617977528089888
3,6,27,3115,0.8667736757624398
4,1,224,3115,7.191011235955056
4,2,850,3115,27.287319422150883
4,3,1126,3115,36.14767255216693
4,4,713,3115,22.8892455858748
4,5,175,3115,5.617977528089888
4,6,27,3115,0.8667736757624398
