fold,score,count,percent
0,1,225,7.220795892169448
0,2,850,27.278562259306803
0,3,1126,36.13607188703466
0,4,712,22.849807445442874
0,5,176,5.648267008985879
0,6,27,0.8664955070603337
1,1,225,7.223113964686998
1,2,850,27.287319422150883
1,3,1126,36.14767255216693
1,4,712,22.857142857142858
1,5,175,5.617977528089888
1,6,27,0.8667736757624398
2,1,224,7.191011235955056
2,2,850,27.287319422150883
2,3,1126,36.14767255216693
2,4,713,22.8892455858748
2,5,175,5.617977528089888
2,6,27,0.8667736757624398
3,1,225,7.223113964686998
3,2,849,27.25521669341894
3,3,1126,36.14767255216693
3,4,713,22.8892455858748
3,5,175,5.617977528089888
3,6,27,0.8667736757624398
4,1,225,7.223113964686998
4,2,850,27.287319422150883
4,3,1125,36.11556982343499
4,4,713,22.8892455858748
4,5,175,5.617977528089888
4,6,27,0.8667736757624398
