feature,spearman_correlation,pvalue
char_count,0.7195777280120067,0.0
word_count,0.7177254006655468,0.0
sentence_count,0.6241032833683282,0.0
unique_word_ratio,-0.5206275884554536,0.0
paragraph_count,0.402483251144832,0.0
avg_word_length,0.2335935736650214,4.755810888502224e-192
long_word_ratio,0.20488120155206438,2.9543023059589334e-147
punctuation_per_1k_chars,0.17360169672529763,1.1945098880075625e-105
digit_ratio,-0.038407104691245704,1.6288704666016486e-06
uppercase_ratio,-0.038130118294305966,1.9346404592655406e-06
avg_sentence_words,0.029736899085730246,0.00020578868507091763
connector_per_1k_words,0.005720401392660526,0.47530346388475225
