fold,alpha,train_rows,validation_rows,word_features,char_features,total_features,train_nonzeros,sparse_matrix_megabytes,vectorizer_seconds,model_seconds,ridge_iterations,qwk_fixed,mae_raw,rmse_raw,severe_error_count,prediction_min,prediction_max,prediction_mean,prediction_std
0,0.3000000000,12460,3116,100000,102841,202841,27457715,290.3369674683,13.9393969170,2.3317073750,60,0.7487789173,0.5086111726,0.6443028447,65,0.5803711414,5.9003925323,2.9778906169,0.8709655002
0,1.0000000000,12460,3116,100000,102841,202841,27457715,290.3369674683,13.9393969170,1.6302201660,41,0.7490628573,0.4917718195,0.6250823334,62,0.6292740703,5.7378044128,2.9768958593,0.8331234461
0,3.0000000000,12460,3116,100000,102841,202841,27457715,290.3369674683,13.9393969170,1.0918212090,26,0.7352226427,0.4896520733,0.6228603687,70,0.7430713773,5.5004944801,2.9741756851,0.7815066921
1,0.3000000000,12461,3115,100000,102683,202683,27387098,290.0669555664,14.2245017500,2.3142596660,60,0.7461254610,0.5030999881,0.6346043626,62,0.5841553211,6.2715892792,2.9769338808,0.8684768161
1,1.0000000000,12461,3115,100000,102683,202683,27387098,290.0669555664,14.2245017500,1.5984765000,40,0.7571040879,0.4837550308,0.6126213974,49,0.7967320681,6.0542268753,2.9782859484,0.8344296536
1,3.0000000000,12461,3115,100000,102683,202683,27387098,290.0669555664,14.2245017500,1.1238571250,27,0.7524547107,0.4804524975,0.6086418316,46,0.8848114610,5.7323923111,2.9785159339,0.7855685747
2,0.3000000000,12461,3115,100000,102531,202531,27426547,290.0654602051,14.2128232080,2.3133406660,60,0.7681873132,0.4860312771,0.6182565679,54,0.3812654316,5.9252829552,2.9531570088,0.8966213406
2,1.0000000000,12461,3115,100000,102531,202531,27426547,290.0654602051,14.2128232080,1.5909820420,40,0.7719736805,0.4698527965,0.5973723536,47,0.4910684824,5.8146800995,2.9556656804,0.8547846177
2,3.0000000000,12461,3115,100000,102531,202531,27426547,290.0654602051,14.2128232080,1.1279576670,27,0.7627412270,0.4694591285,0.5952276160,46,0.5944949985,5.5774669647,2.9581988920,0.7972783351
3,0.3000000000,12461,3115,100000,102466,202466,27403740,290.0573654175,14.2235428330,2.3578281250,61,0.7496091061,0.5047477938,0.6325698758,54,0.4684642851,5.9186162949,2.9739142144,0.8865105878
3,1.0000000000,12461,3115,100000,102466,202466,27403740,290.0573654175,14.2235428330,1.5934057090,40,0.7567737451,0.4893534703,0.6138658489,40,0.5560507774,5.8412218094,2.9737897806,0.8473628964
3,3.0000000000,12461,3115,100000,102466,202466,27403740,290.0573654175,14.2235428330,1.1244605000,27,0.7450267777,0.4882496087,0.6129404101,47,0.7177492976,5.6397833824,2.9719389267,0.7934732044
4,0.3000000000,12461,3115,100000,102647,202647,27455198,290.0665893555,14.1809793750,2.3167295000,60,0.7557155615,0.5005022120,0.6344735793,62,0.2685018480,5.8155536652,2.9824643718,0.8899137289
4,1.0000000000,12461,3115,100000,102647,202647,27455198,290.0665893555,14.1809793750,1.6306186250,41,0.7570811319,0.4845608969,0.6129428197,48,0.4434181750,5.6344223022,2.9801221530,0.8484513307
4,3.0000000000,12461,3115,100000,102647,202647,27455198,290.0665893555,14.1809793750,1.1357752920,27,0.7489443242,0.4832452489,0.6086670439,44,0.6728795171,5.5277938843,2.9762723991,0.7934482131
